ZIP,Unemployment_Rate,Labor_Force,Median_Income,Poverty_Rate,Percent_Bachelors,Commute_Time,Vehicles_per_Household,Percent_Public_Transit,Percent_Driving,Transportation_Score
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85016,2.67,72.99,87850.0,10.06,30.95,22.0,1.6,0.94,69.26,1.6450980392156862
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
85017,7.55,62.27,58346.0,27.1,7.4,26.0,1.7,3.96,77.45,1.384313725490196
